ID_2	Xt	Yt	Altitude_GPS (m)	Altitude_STRM (m)	CE (dS/m)	MOS (%)	C:N	NT (%)	CIC (Cmol /kg)	pH	Ca (Cmol /kg)	Mg (Cmol /kg)	Na (Cmol /kg)	K (Cmol /kg)	P (mg/kg)	Fe (mg/kg)	Mn (mg/kg)	Cu (mg/kg)	Zn (mg/kg)	CC (%)	CMP (%)	Arena (%)	Limo (%)	Arcilla (%)	Oxidos de Al (%)	Oxidos de Fe (%)	Ca (mg/kg)	Mg (mg/kg)	Na (mg/kg)	K (mg/kg)
250	379858.94	6542664.31	586	554	1.54	.	9.32	0.19	22.02	7.01	14.13	3.35	1.09	2.18	68.67	120.8	210.54	2.33	1.92	23	.	20.94	53.1	26.23	.	.	.	.	.	.
251	379912.81	6513834.93	497	508	0.17	2.93	10	0.17	20.8	6.9	14.3	1.2	1.3	2.5	46.61	79.6	186.1	2.6	1.45	25.1	.	9.7	60.7	29.7	.	.	.	.	.	.
252	378648.57	6496538.18	471	477	0.12	3.2	10.92	0.17	22.9	7	15.74	1.4	1.6	2.5	65.73	112.5	204.4	1.7	1.1	26.8	.	5.4	67.4	27.2	0.13	0.08	.	.	.	.
253	378883.18	6476585.09	451	457	0.13	3.22	13.33	0.14	21.1	7.1	14.92	3.01	1.5	2.1	22.49	63.5	210.6	2.2	0.22	23.1	.	18.9	54.9	26.2	0.13	0.06	.	.	.	.
254	373300.19	6454148.92	561	560	0.11	3.26	13.51	0.14	20.7	7.2	14.85	2.96	1.4	1.7	47.63	78.2	171.7	1.6	0.1	20.8	.	15.6	59.8	24.7	.	.	.	.	.	.
255	379355.97	6436677.28	431	434	0.13	3.01	11.62	0.15	23.5	7.1	20.57	4.9	1.3	2	20.24	83.5	258.1	2.6	0.54	26.5	12.8	21.1	53.6	25.3	.	.	.	.	.	.
256	376539.45	6419165.35	576	576	0.04	0.55	8.65	0.04	5.3	7.1	3.9	0.86	1	0.5	13.8	89.5	47.3	0	0.01	6.3	2.9	77.4	15.8	6.7	.	.	.	.	.	.
257	374614.17	6394682.13	651	657	0.1	2.26	11.69	0.11	13.9	7.4	12.5	2.22	1.3	1.5	12.16	64.5	94.8	1	0.01	15.9	7.5	51.5	36.1	12.4	.	.	.	.	.	.
258	378122.04	6374188.83	525	529	0.07	1.67	11.38	0.09	11.12	7.4	7.44	2.1	0.02	1.6	42.73	57	69.7	0.4	0.01	11	5.9	68.4	23.1	8.5	.	.	.	.	.	.
259	371612.33	6361512.93	512	520	0.09	2.83	12.32	0.13	15.6	6.4	9.8	3.63	1.1	2.3	11.96	119.5	89.9	1.1	1.01	18.9	.	47.1	40	12.9	.	.	.	.	.	.
260	383588.56	6341232.69	419	420	0.21	4.31	10.25	0.24	22.5	6.5	16.14	5.31	1.4	2.9	69.41	95.6	187.6	1.9	4.71	23.9	.	30.8	41.7	27.5	.	.	.	.	.	.
261	374332.38	6317590.17	380	385	0.1	2.45	10.6	0.13	16.5	6.4	8.7	3.7	1.2	2.3	39.97	198.8	112.6	2.1	1.81	18.7	11.8	49.1	31.9	19	.	.	.	.	.	.
